Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return_1d,Return_5d,MA_5,MA_20,Volume_MA,Volume_Ratio,Target
2024-01-16 00:00:00+07:00,9092.720703125,9139.590397471005,9069.285855951997,9092.720703125,44869200,0.0,0.0,-0.0025706637951619093,0.007792224098095879,9045.851171875,8861.887939453125,75166040.0,0.5969344666820282,1
2024-01-17 00:00:00+07:00,9139.5908203125,9139.5908203125,9045.851427283653,9139.5908203125,107706100,0.0,0.0,0.005154685678555149,0.02094237753550443,9083.346875,8886.49453125,66800670.0,1.612350594687149,0
2024-01-18 00:00:00+07:00,9069.287109375,9139.591660610466,9022.417408551357,9069.287109375,71048900,0.0,0.0,-0.007692216459105783,0.010443957976098206,9102.094921875,8908.7576171875,64767505.0,1.0969837420786859,0
2024-01-19 00:00:00+07:00,9163.025096387986,9163.025096387986,8998.98116883117,9022.416015625,63176500,0.0,0.0,-0.005168112243524536,-0.007731974817596354,9088.033984375,8926.33369140625,64667605.0,0.9769420098363005,0
2024-01-22 00:00:00+07:00,8998.98116883117,9045.85086241883,8928.676628449675,9022.416015625,52868300,0.0,0.0,0.0,-0.010282762305029558,9069.2861328125,8941.56630859375,63664115.0,0.8304254288306686,0
2024-01-23 00:00:00+07:00,8858.372360229492,8998.9814453125,8858.372360229492,8998.9814453125,92348600,0.0,0.0,-0.0025973719535783424,-0.010309263956637671,9050.53828125,8954.45546875,63875710.0,1.4457545755655787,0
2024-01-24 00:00:00+07:00,8998.981299212597,8998.981299212597,8881.807063545768,8928.6767578125,84906000,0.0,0.0,-0.007812516108322565,-0.023076969926405178,9008.35546875,8963.82939453125,64898530.0,1.3082884928210239,0
2024-01-25 00:00:00+07:00,8858.373463199014,8975.54771535773,8858.373463199014,8905.2431640625,63212700,0.0,0.0,-0.0026245315387295465,-0.018087854462444652,8975.5466796875,8969.688134765625,64835930.0,0.9749640361447734,0
2024-01-26 00:00:00+07:00,8811.50348846925,8858.373187876003,8717.764089655748,8764.6337890625,78977300,0.0,0.0,-0.01578950427400294,-0.02857130796408336,8923.990234375,8967.344677734374,65275565.0,1.2099060345168977,1
2024-01-29 00:00:00+07:00,8811.503210896597,8952.1123046875,8788.068361931446,8952.1123046875,73452800,0.0,0.0,0.02139034215656066,-0.007792115860734916,8909.9294921875,8974.375146484375,64953035.0,1.1308601668882754,1
2024-01-30 00:00:00+07:00,8905.242470854922,9045.8515625,8881.80762224741,9045.8515625,73136400,0.0,0.0,0.010471188767752215,0.005208380245290245,8919.303515625,8984.92080078125,67082595.0,1.0902440491456837,0
2024-01-31 00:00:00+07:00,9092.721398478403,9092.721398478403,8952.1123046875,8952.1123046875,102581200,0.0,0.0,-0.010362679197733038,0.002624750286148947,8923.990625,8994.2947265625,70481490.0,1.455434611271697,1
2024-02-01 00:00:00+07:00,9045.851008778995,9116.155550298003,8975.546467259986,9092.720703125,104208700,0.0,0.0,0.015706728607937093,0.02105248959613748,8961.4861328125,9004.840380859376,72866835.0,1.430125241476455,0
2024-02-02 00:00:00+07:00,9163.025244644008,9186.46009181701,9022.416161605992,9092.720703125,99324000,0.0,0.0,0.0,0.03743304306358164,9027.103515625,9010.699072265625,73568530.0,1.3500881423075872,0
2024-02-05 00:00:00+07:00,9069.28626795039,9069.28626795039,8928.677178524804,8975.546875,57983300,0.0,0.0,-0.012886553095678988,0.0026177699200924387,9031.7904296875,9010.699072265625,73922895.0,0.7843753954711866,1
2024-02-06 00:00:00+07:00,9139.590249594155,9139.590249594155,9022.416015625,9022.416015625,87651000,0.0,0.0,0.005221870185486699,-0.0025907507671421026,9027.1033203125,9010.699072265625,75313015.0,1.1638227469714233,1
2024-02-07 00:00:00+07:00,9092.720703125,9116.155550298003,9045.851008778995,9092.720703125,92953500,0.0,0.0,0.007792224098095879,0.015706728607937093,9055.225,9017.7294921875,77321945.0,1.2021619476850978,1
2024-02-12 00:00:00+07:00,9139.590267259247,9186.4599609375,9092.720573580995,9186.4599609375,87949400,0.0,0.0,0.010309263956637782,0.010309263956637782,9073.9728515625,9028.275146484375,79750340.0,1.102809091472212,0
2024-02-13 00:00:00+07:00,9139.59011989878,9186.459812821337,9092.720426976222,9116.1552734375,66072400,0.0,0.0,-0.007653077224409444,0.0025772891390412056,9078.659765625,9029.446875,79641290.0,0.8296249345031955,1
